Species	T6SS	Count
Cellulophaga_algicola_DSM_14237	TssC,TssE,TssF,TssK	4
Pseudomonas_sp._SWRI132	TssA,TssB,TssD,TssE,TssF,TssG,TssJ,TssK,TssL,TssM	10
Aeromonas_sp._ASNIH2	TssB,TssD,TssE,TssL	4
Mycobacterium_massiliense_str._GO_06	TssL	1
Planctomycetales_bacterium_HK-STAS-UBP7_A-1	TssD	1
Xanthobacter_sp._YN2	TssC,TssE	2
Cronobacter_sakazakii_SP291	TssA,TssB,TssD,TssE,TssF,TssG,TssJ,TssK,TssL,TssM	10
Streptomyces_sp._HM190	TssE,TssL	2
Xanthomonas_citri_subsp._citri_UI6	TssA,TssB,TssC,TssD,TssE,TssF,TssG,TssK,TssL,TssM	10
Streptomyces_fulvissimus_strain_DF	TssE	1
Burkholderia_phenoliruptrix_BR3459a	TssA,TssB,TssD,TssE,TssF,TssG,TssJ,TssK,TssL,TssM	10
Streptomyces_galilaeus_strain_ATCC_14969	TssE	1
Pseudonocardia_sp._EC080610-09	TssB,TssD	2
Streptomyces_sp._KY70_strain_Streptomyces_sp._KY70_genome	TssE	1
Francisella_sp._CA97-1460	TssB,TssK,TssL,TssM	4
Porphyromonadaceae_bacterium_nC29_bin.32.fa	TssC	1
Xanthomonas_translucens_B1FA	TssA,TssB,TssC,TssD,TssE,TssF,TssG,TssJ,TssK,TssL,TssM	11
Sphingomonas_sp._AE3	TssE	1
Francisella_cf._novicida_3523	TssB,TssE,TssK,TssL,TssM	5
Agarivorans_aestuarii_strain_KCTC_32543	TssA,TssB,TssD,TssE,TssF,TssG,TssJ,TssK,TssL,TssM	10
Gemmata_massiliana_strain_Soil9	TssA,TssB,TssD,TssE,TssF,TssG,TssK,TssL	8
Endozoicomonas_montiporae_CL-33	TssB,TssE,TssJ	3
Kangiella_koreensis_DSM_16069	TssA,TssB,TssD,TssJ,TssK,TssL,TssM	7
Streptomyces_prasinus_strain_ATCC_13879	TssE	1
Lelliottia_sp._WB101	TssA,TssB,TssD,TssE,TssF,TssG,TssJ,TssK,TssL,TssM	10
Escherichia_coli_ABU_83972	TssA,TssB,TssD,TssE,TssF,TssG,TssJ,TssK,TssL,TssM	10
Flavobacterium_psychrophilum_JIP02/86	TssG	1
Dietzia_sp._oral_taxon_368_strain_W5195	TssL	1
Aeromonas_australiensis_strain_Isolate4	TssA,TssB,TssD,TssE,TssF,TssG,TssJ,TssK,TssL,TssM	10
Candidatus_Desulfobacillus_denitrificans_strain_317325-3	TssL	1
Zymomonas_mobilis_subsp._mobilis_str._CP4_=_NRRL_B-14023	TssE	1
Massilia_putida_strain_6NM-7T	TssA,TssB,TssD,TssE,TssF,TssG,TssJ,TssK,TssL,TssM	10
Campylobacter_sp._2014D-0216	TssA,TssB,TssD,TssE,TssF,TssG,TssJ,TssK,TssL,TssM	10
Pantoea_ananatis_AJ13355	TssA,TssB,TssD,TssE,TssF,TssG,TssJ,TssK,TssL,TssM	10
Aeromonas_sp._ASNIH3	TssA,TssB,TssD,TssE,TssF,TssG,TssJ,TssK,TssL,TssM	10
Rhizobacter_sp._AJA081-3	TssD	1
Salmonella_enterica_subsp._enterica_serovar_Enteritidis_str._EC20120734	TssA,TssD,TssE,TssG,TssM	5
Gilliamella_sp._ESL0405	TssA,TssB,TssD,TssE,TssF,TssG,TssJ,TssK,TssL,TssM	10
Citrobacter_rodentium_ICC168	TssA,TssB,TssC,TssD,TssE,TssF,TssG,TssK,TssL,TssM	10
Halomonas_socia_strain_CKY01	TssA,TssB,TssD,TssE,TssF,TssG,TssJ,TssK,TssL,TssM	10
Paraburkholderia_aromaticivorans_strain_AR20-38	TssA,TssB,TssD,TssE,TssF,TssG,TssJ,TssK,TssL,TssM	10
Pandoraea_pulmonicola_DSM_16583	TssA,TssB,TssD,TssE,TssF,TssG,TssJ,TssK,TssL	9
Xylella_fastidiosa_subsp._pauca_strain_De_Donno	TssE	1
Salmonella_enterica_subsp._enterica_serovar_4,[5],12:i:-_strain_FSIS1503788_strain_USDA15WA-1	TssA,TssB,TssD,TssE,TssF,TssG,TssJ,TssK,TssL,TssM	10
Microbacterium_hominis_strain_01094	TssL	1
Streptomyces_albogriseolus_strain_LBX-2	TssE,TssG	2
Escherichia_coli_str._'clone_D_i2'	TssA,TssB,TssD,TssE,TssF,TssG,TssJ,TssK,TssL,TssM	10
Salmonella_enterica_subsp._enterica_serovar_Enteritidis_str._EC20120213	TssA,TssD,TssE,TssG,TssM	5
Haemophilus_influenzae_KR494	TssB	1
Delftia_acidovorans_strain_2167	TssA,TssB,TssD,TssE,TssF,TssG,TssJ,TssK,TssL,TssM	10
Vibrio_cholerae_M66-2	TssA,TssB,TssD,TssE,TssF,TssG,TssJ,TssK,TssL,TssM	10
Lactobacillus_oris_strain_J-1	TssL	1
Burkholderia_mallei_NCTC_10229	TssA,TssB,TssD,TssE,TssF,TssG,TssJ,TssK,TssL,TssM	10
Aquisphaera_giovannonii_strain_OJF2	TssA,TssB,TssD,TssE,TssF,TssG,TssK,TssL	8
Agrobacterium_fabrum_LBA645	TssA,TssB,TssD,TssE,TssF,TssG,TssK,TssL,TssM	9
Brenneria_nigrifluens_strain_ATCC_13028	TssA,TssB,TssD,TssE,TssF,TssG,TssJ,TssK,TssL,TssM	10
Mycobacterium_bovis_BCG_str._Korea_1168P	TssL	1
Streptomyces_sp._RLB1-33	TssE	1
Francisella_tularensis_subsp._novicida_PA10-7858	TssB,TssK,TssL	3
Erysipelatoclostridium_ramosum_DSM_1402	TssE	1
Paenibacillus_sp._14171R-81	TssA,TssD	2
Burkholderia_sp._KJ006	TssA,TssB,TssD,TssE,TssF,TssG,TssJ,TssK,TssL,TssM	10
Acinetobacter_calcoaceticus_ACa13	TssA,TssB,TssC,TssD,TssE,TssF,TssG,TssK,TssL,TssM	10
Mycobacterium_haemophilum_DSM_44634_=_ATCC_29548	TssL	1
Brevibacterium_sp._CS2	TssE	1
Staphylococcus_aureus_subsp._aureus_DSM_20231	TssE	1
Desulfobulbus_sp._ORNL	TssE	1
Wolbachia_endosymbiont_of_Folsomia_candida_strain_Berlin	TssE	1
Gemmata_sp._SH-PL17	TssA,TssB,TssD,TssE,TssF,TssG,TssK,TssL	8
Actinoplanes_sp._SE50	TssE,TssL	2
Salmonella_enterica_subsp._enterica_serovar_Enteritidis_str._EC20110353	TssA,TssD,TssE,TssG,TssM	5
Pseudomonas_sp._LBUM920	TssA,TssB,TssD,TssE,TssF,TssG,TssJ,TssK,TssL,TssM	10
Pseudarthrobacter_sp._NBSH8	TssE	1
Mycobacterium_tuberculosis_060827	TssL	1
Leptolyngbya_sp._PCC_7376	TssB,TssE	2
Pseudomonas_plecoglossicida_NyZ12	TssA,TssB,TssC,TssD,TssE,TssF,TssG,TssJ,TssK,TssL,TssM	11
Agrobacterium_sp._T29	TssA,TssB,TssD,TssE,TssF,TssG,TssK,TssL,TssM	9
Chryseobacterium_sp._LJ668	TssB,TssC,TssE,TssF,TssG	5
Pasteurella_skyensis_strain_95A1	TssE	1
Burkholderia_thailandensis_2002721643	TssA,TssB,TssD,TssE,TssF,TssG,TssJ,TssK,TssL,TssM	10
Alcaligenes_sp._HO-1	TssA,TssB,TssD,TssE,TssF,TssG,TssJ,TssK,TssL,TssM	10
Rhodospirillaceae_bacterium_B3	TssL	1
Christensenellaceae_bacterium_CE91-St36	TssL	1
Actinopolymorpha_singaporensis_strain_DSM_22024	TssE,TssL	2
Synechococcus_sp._MEDNS5	TssB	1
Salmonella_enterica_subsp._enterica_serovar_Heidelberg_str._B182	TssA,TssB,TssD,TssE,TssF,TssG,TssJ,TssK,TssL,TssM	10
Aeromonas_sp._ASNIH4	TssA,TssB,TssD,TssE,TssF,TssG,TssJ,TssK,TssL,TssM	10
Planctomycetes_bacterium_Pla86	TssE	1
Devosia_sp._SCS-3	TssE	1
Escherichia_coli_O68:H12_strain_730V1	TssA,TssD,TssE,TssL,TssM	5
Nocardia_wallacei_strain_FMUON74	TssL	1
Paenibacillus_sp._E222	TssE	1
Azospirillum_humicireducens_strain_SgZ-5	TssA,TssB,TssD,TssE,TssF,TssG,TssJ,TssK,TssL,TssM	10
Aquabacterium_olei_strain_NBRC_110486	TssA,TssB,TssD,TssE,TssF,TssG,TssJ,TssK,TssL,TssM	10
Providencia_rettgeri_06-1619	TssA,TssB,TssD,TssE,TssF,TssG,TssJ,TssK,TssL,TssM	10
Salmonella_enterica_subsp._enterica_serovar_Enteritidis_str._EC20110221	TssA,TssD,TssE,TssG,TssM	5
Bradyrhizobium_sp._WBAH10	TssC,TssE	2
Acetobacter_pasteurianus_IFO_3283-12	TssM	1
Synechococcus_sp._PROS-7-1	TssG	1
Salmonella_enterica_subsp._enterica_serovar_Hillingdon_str._N1529-D3_strain_N1529-D3	TssA,TssB,TssD,TssE,TssF,TssG,TssJ,TssK,TssL,TssM	10
Escherichia_coli_APEC_O78	TssB,TssD,TssE,TssL	4
Aeromonas_sp._FDAARGOS_1405_strain_Not_applicable	TssA,TssB,TssD,TssE,TssF,TssG,TssJ,TssK,TssL,TssM	10
Flavobacterium_sp._HYN0056	TssB,TssC,TssD,TssE,TssF,TssG	6
Devosia_sp._H5989	TssE	1
Legionella_geestiana_strain_1308	TssL,TssM	2
Acidovorax_sp._JMULE5	TssA,TssG	2
Salmonella_enterica_subsp._enterica_serovar_Reading_strain_CVM_21978	TssA,TssB,TssD,TssE,TssF,TssG,TssJ,TssK,TssL,TssM	10
Serratia_plymuthica_AS9	TssE,TssG	2
Salmonella_enterica_subsp._enterica_serovar_Ouakam	TssA,TssB,TssD,TssE,TssF,TssG,TssJ,TssK,TssL,TssM	10
Escherichia_coli_O16:H48_strain_CV601gfp	TssD,TssE,TssL	3
Salmonella_enterica_subsp._houtenae_str._CFSAN000552	TssA,TssB,TssD,TssE,TssF,TssG,TssJ,TssK,TssL,TssM	10
Niabella_ginsenosidivorans_strain_BS26	TssB,TssC,TssE,TssF,TssG,TssK	6
Methanobacterium_sp._MZ-A1	TssF	1
Chthonomonas_calidirosea_strain_P488	TssB	1
Azotobacter_chroococcum_strain_B3	TssA,TssB,TssD,TssE,TssF,TssG,TssJ,TssK,TssL,TssM	10
Salmonella_enterica_subsp._enterica_serovar_Macclesfield_str._S-1643_strain_S-1643	TssA,TssB,TssD,TssE,TssF,TssG,TssJ,TssK,TssL,TssM	10
Balneolaceae_bacterium_strain_ECT2AJA-110-D	TssE,TssK	2
Mesotoga_infera_strain_MESINF1	TssB,TssE	2
Streptomyces_sp._AC541	TssE	1
Aeromonas_sp._CA23	TssA,TssB,TssD,TssE,TssF,TssG,TssJ,TssK,TssL,TssM	10
Escherichia_coli_O20:H12_strain_Res13-Lact-PEB17-18	TssA,TssB,TssD,TssE,TssF,TssG,TssJ,TssK,TssL,TssM	10
Pseudomonas_alcaligenes_MRCP2	TssA,TssB,TssD,TssE,TssF,TssG,TssJ,TssK,TssL,TssM	10
Salmonella_enterica_subsp._enterica_serovar_Enteritidis_str._EC20110354	TssA,TssD,TssE,TssG,TssM	5
Campylobacter_peloridis_LMG_23910	TssA,TssB,TssD,TssE,TssF,TssG,TssJ,TssK,TssL,TssM	10
Streptomyces_sp._XC_2026	TssE	1
Streptomyces_sp._M54	TssE,TssL	2
Haemophilus_influenzae_F3047	TssB,TssE	2
Sphingobacteriaceae_bacterium_GW460-11-11-14-LB5_strain_GW460-11-11-14-LB5	TssB,TssC,TssE,TssF,TssG,TssK	6
Lactobacillus_acidipiscis_strain_ACA-DC_1533	TssE	1
Nocardioides_aquaticus_strain_KCTC_9944	TssK,TssL	2
Ruminococcus_bromii_L2-63	TssM	1
Paenibacillus_azoreducens_J34TS1	TssK	1
Xanthomonas_citri_pv._vignicola_strain_CFBP7111	TssA,TssB,TssC,TssD,TssE,TssF,TssG,TssK,TssL,TssM	10
Cupriavidus_basilensis_4G11	TssA,TssB,TssD,TssE,TssF,TssG,TssJ,TssK,TssL,TssM	10
Planctomycetes_bacterium_V144	TssA,TssE	2
Escherichia_coli_O25b:H4-ST131	TssA,TssB,TssD,TssE,TssF,TssG,TssJ,TssK,TssL,TssM	10
Citrobacter_sp._RHBSTW-00667	TssA,TssB,TssC,TssD,TssE,TssF,TssG,TssJ,TssK,TssL	10
Hylemonella_gracilis_strain_NS1	TssA	1
Paenibacillus_sp._DCY84	TssE	1
Aeromonas_sp._ASNIH5	TssJ	1
Bacillus_thuringiensis_serovar_chinensis_CT-43	TssD	1
Streptococcus_pneumoniae_TIGR4	TssE	1
Staphylococcus_aureus_subsp._aureus_71193	TssE	1
Helicobacter_winghamensis_strain_2015D-0170	TssA	1
Methylobacterium_radiotolerans_NYY1	TssE,TssL	2
Escherichia_coli_O112ab:H8_strain_Res13-Lact-EA06-22	TssB,TssD,TssE,TssL,TssM	5
Kordia_sp._SMS9	TssE	1
Salmonella_enterica_subsp._enterica_serovar_Enteritidis_str._EC20110222	TssA,TssD,TssE,TssG,TssM	5
Methanosarcina_siciliae_HI350	TssA	1
Mycobacterium_tuberculosis_UT205	TssL	1
Gemmatimonas_sp._TET16	TssA,TssB,TssD,TssE,TssF,TssG,TssK,TssL,TssM	9
Lactococcus_lactis_subsp._lactis_KLDS_4.0325	TssM	1
Mesorhizobium_sp._M2A.F.Ca.ET.043.02.1.1	TssA,TssB,TssC,TssD,TssE,TssF,TssG,TssJ,TssK,TssL,TssM	11
Permianibacter_aggregans_strain_HW001	TssE,TssM	2
Pseudomonas_sp._R4-35-07	TssA,TssB,TssD,TssE,TssF,TssG,TssJ,TssK,TssL,TssM	10
Escherichia_coli_O145:H28_str._RM12761	TssD,TssE,TssF,TssG,TssL	5
Xanthomonas_axonopodis_pv._allii_CFBP6369	TssA,TssB,TssC,TssD,TssE,TssF,TssG,TssK,TssL,TssM	10
Rhodovulum_sulfidophilum_DSM_1374	TssA,TssB,TssD,TssE,TssF,TssG,TssK,TssL,TssM	9
Mycobacterium_tuberculosis_7199-99	TssL	1
Pseudomonas_sp._LG1D9	TssA,TssB,TssD,TssE,TssF,TssG,TssJ,TssK,TssL,TssM	10
Francisella_noatunensis_subsp._noatunensis_FSC772_strain_FSC772	TssB,TssK,TssL,TssM	4
Pseudomonas_frederiksbergensis_strain_AS1	TssA,TssB,TssD,TssE,TssF,TssG,TssJ,TssK,TssL,TssM	10
Pseudomonas_sp._QZS01	TssA,TssB,TssD,TssE,TssF,TssG,TssJ,TssK,TssL,TssM	10
Erwinia_pyrifoliae_DSM_12163	TssA,TssB,TssD,TssE,TssF,TssG,TssJ,TssK,TssL,TssM	10
Pseudomonas_putida_S16	TssA,TssB,TssC,TssD,TssE,TssF,TssG,TssJ,TssK,TssL,TssM	11
Sphingomonas_sp._FARSPH	TssK	1
Thalassospira_indica_strain_PB8BT_strain_PB8BT_(=MCCC_1A01103T=LMG_29620T)	TssE	1
Citrobacter_sp._RHBSTW-00535	TssA,TssB,TssD,TssE,TssF,TssG,TssJ,TssK,TssL,TssM	10
Burkholderia_pseudomallei_MSHR511	TssA,TssB,TssD,TssE,TssF,TssG,TssJ,TssK,TssL,TssM	10
Alteromonas_sp._Mac1	TssL	1
Salmonella_enterica_subsp._enterica_serovar_Enteritidis_str._SA20093421	TssA,TssD,TssE,TssG,TssM	5
Modestobacter_sp._L9-4	TssL,TssM	2
Thermosipho_melanesiensis_BI429	TssE	1
Brevibacillus_choshinensis_strain_HPD31-SP3_strain_not_applicable	TssM	1
Lactobacillus_reuteri_JCM_1112	TssL	1
Colwellia_sp._MT41	TssB	1
Pseudomonas_khazarica_strain_ODT-83	TssA,TssB,TssD,TssE,TssF,TssG,TssJ,TssK,TssL,TssM	10
Stenotrophomonas_sp._Q16	TssE	1
Mycobacterium_seoulense_strain_JCM_16018	TssL	1
Salmonella_enterica_subsp._enterica_3018683606	TssA,TssB,TssD,TssE,TssF,TssG,TssJ,TssK,TssL,TssM	10
Bosea_sp._F3-2	TssA,TssB,TssD,TssE,TssF,TssG,TssK,TssL,TssM	9
Corallococcus_sp._EGB	TssA,TssB,TssE,TssF,TssK,TssL,TssM	7
Nonomuraea_coxensis_DSM_45129	TssE,TssL	2
Bacillus_subtilis_subsp._subtilis_str._JH642_substr._AG174	TssE	1
Sphaerospermopsis_kisseleviana_NIES-73	TssE,TssL	2
Aeromonas_hydrophila_AL09-71	TssD,TssL	2
Salmonella_enterica_subsp._enterica_serovar_Enteritidis_str._EC20110355	TssA,TssD,TssE,TssG,TssM	5
Bacillus_sp._N1-1	TssE,TssL	2
Chryseobacterium_shandongense_strain_G0207	TssB,TssC,TssE,TssF,TssG,TssK	6
Campylobacter_gracilis_FDAARGOS_1548	TssE	1
Pseudomonas_sp._SWRI17	TssA,TssB,TssC,TssD,TssE,TssF,TssG,TssJ,TssK,TssL,TssM	11
Izhakiella_sp._KSNA2	TssA,TssB,TssD,TssE,TssF,TssG,TssJ,TssK,TssL,TssM	10
Pseudomonas_lini_strain_BS3782	TssA,TssB,TssD,TssE,TssF,TssG,TssJ,TssK,TssL,TssM	10
Pseudomonas_mediterranea_strain_DSM_16733	TssA,TssB,TssC,TssD,TssE,TssF,TssG,TssJ,TssK,TssL,TssM	11
Leptospira_interrogans_serovar_Icterohaemorrhagiae_strain_898	TssD,TssL	2
Salmonella_enterica_subsp._enterica_serovar_Yovokome_str._S-1850_strain_S-1850	TssA,TssB,TssD,TssE,TssF,TssG,TssJ,TssK,TssL,TssM	10
Shewanella_sp._FJAT-51860	TssD	1
Parabacteroides_sp._CT06	TssC,TssE,TssF,TssK	4
Salmonella_enterica_subsp._enterica_serovar_Enteritidis_str._EC20121180	TssA,TssD,TssE,TssG	4
Halobacterium_sp._JI20-1	TssE,TssL	2
Mycobacterium_fortuitum_strain_CT6	TssL	1
Aeromonas_rivipollensis_strain_KN-Mc-11N1	TssJ	1
Tistrella_mobilis_KA081020-065	TssA,TssB,TssD,TssE,TssF,TssG,TssJ,TssK,TssL,TssM	10
Geobacillus_thermoleovorans_strain_ARTRW1	TssE	1
Rhodocyclaceae_bacterium_ICHIAU1	TssJ	1
Salmonella_enterica_subsp._enterica_serovar_Enteritidis_str._EC20110223	TssA,TssD,TssE,TssG,TssM	5
Streptomyces_sp._Z423-1	TssE,TssL	2
Salmonella_enterica_subsp._enterica_serovar_London_strain_CVM_35153	TssA,TssB,TssD,TssE,TssF,TssG,TssJ,TssK,TssL,TssM	10
Pseudopuniceibacterium_sp._HQ09	TssE	1
Salmonella_enterica_subsp._enterica_serovar_Heidelberg_strain_09-036813-1A	TssA,TssB,TssD,TssE,TssF,TssG,TssJ,TssK,TssL,TssM	10
Streptomyces_hygroscopicus_subsp._jinggangensis_TL01	TssE	1
Nocardiopsis_sp._BM-2018	TssL	1
Pseudomonas_sp._R3-52-08	TssA,TssB,TssD,TssE,TssF,TssG,TssJ,TssK,TssL,TssM	10
Flavobacterium_johnsoniae_UW101	TssC,TssD,TssE,TssF,TssG,TssK	6
Acinetobacter_nosocomialis_strain_6411	TssA,TssB,TssC,TssK,TssL,TssM	6
Salmonella_enterica_subsp._enterica_serovar_Typhimurium_str._USDA-ARS-USMARC-1906	TssA,TssB,TssD,TssE,TssF,TssG,TssJ,TssK,TssL,TssM	10
Cupriavidus_sp._ISTL7	TssA,TssM	2
Mycobacterium_smegmatis_INHR1	TssL	1
Chryseobacterium_rhizoplanae_XL97	TssB,TssC,TssE,TssF,TssG,TssK	6
Dolosigranulum_pigrum_strain_83VPs-KB5	TssL	1
Rhodococcus_sp._X156	TssE	1
Azotobacter_chroococcum_NCIMB_8003	TssA,TssD	2
Bosea_sp._PAMC_26642	TssA,TssB,TssD,TssE,TssF,TssG,TssK,TssL,TssM	9
Haemophilus_parainfluenzae_T3T1	TssE	1
Mycoplasma_edwardii_strain_NCTC10132	TssC	1
Candidatus_Methylopumilus_rimovensis_strain_MMS-RI-1	TssL	1
Salinivibrio_costicola_strain_M318	TssA,TssB,TssC,TssD,TssE,TssF,TssG,TssJ,TssK,TssL,TssM	11
Alteromonas_sp._Mac2	TssL	1
Natronolimnobius_sp._XQ-INN_246_strain_2447	TssA,TssB,TssD,TssE,TssF,TssG,TssJ,TssK,TssL,TssM	10
Paenibacillus_sp._PAMC21692	TssE	1
Jeongeupia_sp._USM3	TssA,TssB,TssD,TssE,TssF,TssG,TssJ,TssK,TssL,TssM	10
Halopenitus_persicus_strain_CBA1233	TssE	1
Streptococcus_pneumoniae_INV200	TssE	1
Burkholderia_sp._IDO3	TssA,TssB,TssD,TssE,TssF,TssG,TssJ,TssK,TssL,TssM	10
Pseudomonas_sp._J380	TssA,TssB,TssD,TssE,TssF,TssG,TssJ,TssK,TssL,TssM	10
Marinobacter_similis_A3d10	TssA,TssB,TssD,TssE,TssF,TssG,TssJ,TssK,TssL,TssM	10
Leptospira_borgpetersenii_str._4E	TssB,TssD	2
Gemmatimonadetes_bacterium_KBS708	TssA,TssB,TssD,TssE,TssF,TssG,TssK,TssL,TssM	9
Sphingomonas_echinoides_strain_B18	TssA,TssB,TssD,TssE,TssF,TssG,TssJ,TssK,TssL,TssM	10
Planctomycetes_bacterium_CA51	TssA,TssB,TssD,TssE,TssF,TssG,TssK,TssL	8
Lactobacillus_plantarum_subsp._plantarum_P-8	TssL	1
Geoglobus_acetivorans_SBH6	TssE	1
Clavibacter_michiganensis_subsp._chilensis_CFBP_8217	TssE	1
Salmonella_enterica_subsp._enterica_serovar_Enteritidis_str._EC20110356	TssA,TssD,TssE,TssG,TssM	5
Helicobacter_pylori_83	TssE	1
Achromobacter_mucicolens_IA	TssA,TssB,TssD,TssE,TssF,TssG,TssJ,TssK,TssL,TssM	10
Bacteroides_thetaiotaomicron_BFG-55	TssM	1
Corynebacterium_flavescens_strain_OJ8	TssK,TssL	2
Acinetobacter_lactucae_strain_OTEC-02	TssA,TssB,TssD,TssE,TssF,TssG,TssK,TssL,TssM	9
Klebsiella_pneumoniae_subsp._pneumoniae_HS11286	TssA,TssB,TssD,TssE,TssF,TssG,TssJ,TssK,TssL,TssM	10
Serratia_sp._AS12	TssE,TssG	2
Marinomonas_sp._A3A	TssA,TssB,TssD,TssE,TssF,TssG,TssJ,TssK,TssL,TssM	10
Salmonella_enterica_subsp._enterica_serovar_Enteritidis_str._SA20084824	TssA,TssD,TssE,TssG,TssM	5
Weissella_ceti_strain_CECT_7719	TssE	1
Phascolarctobacterium_faecium_CE91-St52	TssB	1
Saprospira_grandis_str._Lewin	TssE,TssL	2
Actinoplanes_sp._NBRC_14428	TssE	1
Streptomyces_sp._ID38640	TssE	1
Treponema_succinifaciens_DSM_2489	TssB,TssE	2
Francisella_philomiragia_subsp._philomiragia_ATCC_25017	TssB,TssL	2
Pseudomonas_balearica_strain_EC28	TssA,TssB,TssD,TssE,TssF,TssG,TssJ,TssK,TssL,TssM	10
Pseudomonas_cedrina_strain_BS2981	TssA,TssB,TssD,TssE,TssF,TssG,TssJ,TssK,TssL,TssM	10
Mycoplasma_putrefaciens_strain_NCTC10155	TssD	1
Enterococcus_sp._HSIEG1	TssK	1
Corynebacterium_macginleyi_strain_FDAARGOS_1195_strain_Not_applicable	TssL	1
Clostridium]_hylemonae_DSM_15053	TssE	1
Erwinia_billingiae_strain_TH88	TssA,TssB,TssD,TssE,TssF,TssG,TssJ,TssK,TssL,TssM	10
Salmonella_enterica_subsp._enterica_serovar_Enteritidis_str._EC20120738	TssA,TssD,TssE,TssG,TssM	5
Arthrobacter_sp._Rue61a	TssL	1
Haemophilus_influenzae_PittEE	TssB	1
Geomonas_sp._RG10	TssA,TssB,TssD,TssE,TssF,TssG,TssJ,TssK,TssL	9
Alicycliphilus_denitrificans_strain_DP3	TssE,TssL	2
Edwardsiella_tarda_FDAARGOS_1473	TssE	1
Burkholderia_aenigmatica_CMCC(B)23010_strain_CMCC(B)23010	TssA,TssB,TssD,TssE,TssF,TssG,TssJ,TssK,TssL,TssM	10
Yersinia_pestis_KIM10+	TssA,TssB,TssD,TssE,TssF,TssG,TssJ,TssK,TssL,TssM	10
Winogradskyella_sp._HaHa_3_26	TssL	1
Chitinophaga_sp._KRA15-503	TssB,TssC,TssE,TssF,TssG,TssK	6
Serinicoccus_profundi_strain_CGMCC_4.5582	TssG	1
Flavobacterium_psychrophilum_FPG101	TssG	1
Cyanobium_sp._M30B3	TssE	1
Haloarculaceae_archaeon_HSR12-1	TssJ	1
Marinobacter_sp._CP1	TssA,TssB,TssC,TssD,TssE,TssF,TssG,TssJ,TssK,TssL,TssM	11
Chloracidobacterium_sp._MS_40/45	TssL	1
Paenibacillus_sp._32O-W	TssE,TssG	2
Methanobrevibacter_arboriphilus_strain_SA	TssE	1
Enterococcus_faecalis_str._Symbioflor_1	TssE	1
uncultured_Alistipes_sp._min17_bin03	TssL	1
Janthinobacterium_sp._LM6_strain_LM6	TssA,TssB,TssD,TssE,TssF,TssG,TssJ,TssK,TssL,TssM	10
Bordetella_bronchiseptica_253	TssA,TssB,TssD,TssE,TssF,TssG,TssJ,TssK,TssL,TssM	10
Conexibacter_sp._SYSU_D00693	TssL	1
Streptomyces_bottropensis_ATCC_25435	TssE,TssL	2
Cupriavidus_metallidurans_ZM02	TssA,TssB,TssD,TssE,TssF,TssG,TssJ,TssK,TssL,TssM	10
Aeromonas_veronii_32286	TssK	1
Bacillus_sp._LUNF1	TssE	1
Shigella_flexneri_1a	TssA,TssE,TssF,TssG,TssL	5
Sphingobacterium_sp._UDSM-2020	TssL	1
Serratia_sp._LS-1	TssA,TssB,TssD,TssE,TssF,TssG,TssJ,TssK,TssL,TssM	10
Cronobacter_universalis_NCTC_9529	TssA,TssB,TssD,TssE,TssF,TssG,TssJ,TssK,TssL,TssM	10
Candidatus_Nitrotoga_arctica_6680	TssE	1
Mycobacterium_tuberculosis_PanR0311	TssL	1
Salmonella_enterica_subsp._enterica_serovar_Enteritidis_str._EC20110357	TssA,TssD,TssE,TssG,TssM	5
Wolbachia_endosymbiont_of_Drosophila_melanogaster_strain_wMel	TssE	1
Escherichia_coli_O1:HNT_strain_DR162-CEF	TssD,TssE,TssL	3
Chlamydia_buteonis_strain_IDL17-4553	TssC	1
Bacillus_sp._Alg07	TssL	1
Serratia_sp._AS13	TssE,TssG	2
Escherichia_coli_O45:H2_strain_FWSEC0003	TssA,TssB,TssD,TssE,TssF,TssG,TssJ,TssK,TssL,TssM	10
Salmonella_enterica_subsp._enterica_serovar_Enteritidis_str._EC20121004	TssD	1
Brachyspira_intermedia_PWS/A	TssA,TssM	2
Rhodoblastus_sp._strain_SSC7	TssE,TssM	2
Paenibacillus_sp._FSL_R5-0345	TssA,TssE,TssF	3
Proteus_cibarius_strain_G11	TssA,TssB,TssD,TssE,TssF,TssG,TssJ,TssK,TssL,TssM	10
Desulfovibrio_piger_strain_DESPIGER1	TssE,TssG	2
Deinococcus_sp._AJ005	TssE	1
Gemella_sanguinis_strain_FDAARGOS_742_strain_Not_applicable	TssC	1
Streptococcus_constellatus_subsp._pharyngis_C232	TssB	1
Clostridium_neonatale_250_09	TssB,TssE	2
Legionella_pneumophila_subsp._pneumophila_str._Hextuple_2q	TssL,TssM	2
Streptomyces_violaceoruber_strain_S21	TssE,TssF,TssL	3
Cellulophaga_lytica_strain_DAU203	TssB,TssC,TssE	3
Streptomyces_sp._CRPJ-33	TssE,TssL	2
Pandoraea_pnomenusa_3kgm	TssL	1
Vibrio_owensii_strain_1700302	TssA,TssB,TssD,TssE,TssF,TssG,TssJ,TssK,TssL,TssM	10
Pseudomonas_aeruginosa_NCGM2.S1	TssA,TssB,TssD,TssE,TssF,TssG,TssJ,TssK,TssL,TssM	10
Listonella_anguillarum_M3	TssA,TssB,TssD,TssE,TssF,TssG,TssJ,TssK,TssL,TssM	10
Bartonella_tribocorum_strain_BM1374166	TssE	1
