Species	flagellar_proteins	No_of_proteins
Bacillus methylotrophicus 	flgB,flgC,flgD,flgF,flgG,flgJ,flgK,flgL,flgM,flgN,flhA,flhB,fliA,fliC,fliD,fliE,fliF,fliG,fliH,fliI,fliJ,fliK,fliL,fliM,fliN,fliO,fliP,fliQ,fliR,fliS,fliT,fliY,flrA,flrC,motA,motB,motX,rpoD,rpoN	39
Bacillus mobilis strain ML-A2C4 	flgB,flgC,flgD,flgE,flgF,flgJ,flgK,flgL,flhA,flhB,fliA,fliC,fliD,fliE,fliF,fliG,fliH,fliI,fliK,fliM,fliN,fliP,fliQ,fliR,fliS,fliY,flrA,flrC,motA,motB,motX,rpoD,rpoN	33
Bacillus mojavensis strain LDFZ001 	flgB,flgC,flgD,flgE,flgF,flgG,flgJ,flgK,flgL,flgM,flgN,flhA,flhB,fliA,fliC,fliD,fliE,fliF,fliG,fliH,fliI,fliJ,fliK,fliL,fliM,fliN,fliO,fliP,fliQ,fliR,fliS,fliT,fliY,flrA,flrC,motA,motB,motX,rpoD,rpoN	40
Bacillus mycoides ATCC 6462 	flgF,flgJ,flhA,flhB,fliA,fliC,fliI,fliM,fliN,fliP,fliQ,fliR,fliY,flrA,flrC,motA,motB,motX,rpoD,rpoN	20
Bacillus nitratireducens N4/150 	flgD,flgF,flgJ,flhA,flhB,fliA,fliC,fliH,fliI,fliM,fliN,fliP,fliQ,fliR,fliY,flrA,flrC,motA,motB,motX,rpoD,rpoN	22
Bacillus oleronius strain DSM 9356 	flgA,flgB,flgC,flgD,flgE,flgF,flgJ,flgK,flgL,flgM,flgN,flhA,flhB,fliA,fliC,fliD,fliE,fliF,fliG,fliH,fliI,fliJ,fliK,fliL,fliM,fliN,fliO,fliP,fliQ,fliR,fliS,fliT,fliY,flrA,flrC,motA,motB,motX,rpoD,rpoN	40
Bacillus pacificus anQ-h4 	flgA,flgB,flgC,flgD,flgE,flgF,flgJ,flgK,flgL,flhA,flhB,fliA,fliC,fliD,fliE,fliF,fliG,fliH,fliI,fliK,fliM,fliN,fliP,fliQ,fliR,fliS,fliY,flrA,flrC,motA,motB,motX,rpoD,rpoN	34
Bacillus paralicheniformis CPL618 	flgC,flgD,flgE,flgF,flgG,flgJ,flgK,flgL,flgM,flgN,flhA,flhB,fliA,fliC,fliD,fliE,fliF,fliG,fliH,fliI,fliJ,fliK,fliL,fliM,fliN,fliO,fliP,fliQ,fliR,fliS,fliT,fliY,flrA,flrC,motA,motB,motX,rpoD,rpoN	39
Bacillus paranthracis SHOU-BC01 	flgB,flgC,flgD,flgE,flgF,flgJ,flgK,flgL,flhA,flhB,fliA,fliC,fliD,fliE,fliF,fliG,fliH,fliI,fliK,fliM,fliN,fliP,fliQ,fliR,fliS,fliY,flrA,flrC,motA,motB,motX,rpoD,rpoN	33
Bacillus pseudofirmus OF4 	flgB,flgC,flgD,flgF,flgG,flgJ,flgK,flgL,flgM,flgN,flhA,flhB,fliA,fliC,fliD,fliE,fliF,fliG,fliH,fliI,fliJ,fliK,fliL,fliM,fliN,fliO,fliP,fliQ,fliR,fliS,fliT,fliY,flrA,flrC,motA,motB,motX,rpoD,rpoN	39
Bacillus pseudomycoides N451-2 	flgJ,fliA,fliI,fliY,flrA,flrC,motX,rpoD,rpoN	9
Bacillus pumilus AR03 	flgB,flgC,flgD,flgE,flgF,flgG,flgJ,flgK,flgL,flgM,flgN,flhA,flhB,fliA,fliC,fliD,fliE,fliF,fliG,fliH,fliI,fliJ,fliK,fliL,fliM,fliN,fliO,fliP,fliQ,fliR,fliS,fliT,fliY,flrA,flrC,motA,motB,motX,rpoD,rpoN	40
Bacillus pumilus SAFR-032 	flgB,flgC,flgD,flgE,flgF,flgG,flgJ,flgK,flgL,flgM,flgN,flhA,flhB,fliA,fliC,fliD,fliE,fliF,fliG,fliH,fliI,fliJ,fliK,fliL,fliM,fliN,fliO,fliP,fliQ,fliR,fliS,fliT,fliY,flrA,flrC,motA,motB,motX,rpoD,rpoN	40
Bacillus safensis H31R-08 	flgB,flgC,flgD,flgF,flgG,flgJ,flgK,flgL,flgM,flgN,flhA,flhB,fliA,fliC,fliD,fliE,fliF,fliG,fliH,fliI,fliJ,fliK,fliL,fliM,fliN,fliO,fliP,fliQ,fliR,fliS,fliT,fliY,flrA,flrC,motA,motB,motX,rpoD,rpoN	39
Bacillus selenitireducens MLS10 	flgB,flgD,flgE,flgF,flgG,flgJ,flgK,flgL,flgM,flgN,flhA,flhB,fliA,fliC,fliD,fliE,fliF,fliG,fliH,fliI,fliJ,fliK,fliL,fliM,fliN,fliO,fliP,fliQ,fliR,fliS,fliT,fliY,flrA,flrC,motA,motB,motX,rpoD,rpoN	39
Bacillus shivajii JCM 32183 	flgA,flgB,flgC,flgD,flgE,flgF,flgG,flgK,flgL,flgM,flgN,flhA,flhB,fliA,fliC,fliD,fliE,fliF,fliG,fliH,fliI,fliJ,fliK,fliL,fliM,fliN,fliO,fliP,fliQ,fliR,fliS,fliT,fliY,flrA,flrC,motA,motB,motX,motY,rpoD,rpoN	41
Bacillus siamensis GUWM35 	flgB,flgC,flgD,flgE,flgF,flgG,flgJ,flgK,flgL,flgM,flgN,flhA,flhB,fliA,fliC,fliD,fliE,fliF,fliG,fliH,fliI,fliJ,fliK,fliL,fliM,fliN,fliO,fliP,fliQ,fliR,fliS,fliT,fliY,flrA,flrC,motA,motB,motX,rpoD,rpoN	40
Bacillus simplex NBRC 15720 = DSM 1321 	flgB,flgC,flgD,flgE,flgF,flgJ,flgK,flgL,flgM,flgN,flhA,flhB,fliA,fliC,fliD,fliE,fliF,fliG,fliH,fliI,fliJ,fliK,fliL,fliM,fliN,fliO,fliP,fliQ,fliR,fliS,fliT,fliY,flrA,flrC,motA,motB,motX,rpoD,rpoN	39
Bacillus simplex strain SH-B26 	flgB,flgC,flgD,flgE,flgF,flgJ,flgK,flgL,flgM,flgN,flhA,flhB,fliA,fliC,fliD,fliE,fliF,fliG,fliH,fliI,fliJ,fliK,fliL,fliM,fliN,fliO,fliP,fliQ,fliR,fliS,fliT,fliY,flrA,flrC,motA,motB,motX,rpoD,rpoN	39
Bacillus smithii strain DSM 4216 	flgB,flgC,flgD,flgE,flgF,flgG,flgJ,flgK,flgL,flgM,flgN,flhA,flhB,fliA,fliC,fliD,fliE,fliF,fliG,fliH,fliI,fliJ,fliK,fliL,fliM,fliN,fliO,fliP,fliQ,fliR,fliS,fliT,fliY,flrA,flrC,motA,motB,motX,rpoD,rpoN	40
Bacillus sonorensis strain SRCM101395 	flgB,flgC,flgD,flgE,flgF,flgG,flgJ,flgK,flgL,flgM,flgN,flhA,flhB,fliA,fliC,fliD,fliE,fliF,fliG,fliH,fliI,fliJ,fliK,fliL,fliM,fliN,fliO,fliP,fliQ,fliR,fliS,fliT,fliY,flrA,flrC,motA,motB,motX,rpoD,rpoN	40
Bacillus sp. 1s-1 	flgB,flgC,flgD,flgF,flgG,flgJ,flgK,flgL,flgM,flgN,flhA,flhB,fliA,fliC,fliD,fliE,fliF,fliG,fliH,fliI,fliJ,fliK,fliL,fliM,fliN,fliO,fliP,fliQ,fliR,fliS,fliT,fliY,flrA,flrC,motA,motB,motX,rpoD,rpoN	39
Bacillus sp. 275 strain 275 	flgB,flgC,flgD,flgF,flgG,flgJ,flgK,flgL,flgM,flgN,flhA,flhB,fliA,fliC,fliD,fliE,fliF,fliG,fliH,fliI,fliJ,fliK,fliL,fliM,fliN,fliO,fliP,fliQ,fliR,fliS,fliT,fliY,flrA,flrC,motA,motB,motX,rpoD,rpoN	39
Bacillus sp. 3a strain 3A 	flgB,flgC,flgD,flgE,flgF,flgG,flgJ,flgK,flgL,flgM,flgN,flhA,flhB,fliA,fliC,fliD,fliE,fliF,fliG,fliH,fliI,fliJ,fliK,fliL,fliM,fliN,fliO,fliP,fliQ,fliR,fliS,fliT,fliY,flrA,flrC,motA,motB,motX,rpoD,rpoN	40
Bacillus sp. 7D3 	flgB,flgC,flgD,flgF,flgG,flgJ,flgK,flgL,flgM,flgN,flhA,flhB,fliA,fliC,fliD,fliE,fliF,fliG,fliH,fliI,fliJ,fliK,fliL,fliM,fliN,fliO,fliP,fliQ,fliR,fliS,fliT,fliY,flrA,flrC,motA,motB,motX,rpoD,rpoN	39
Bacillus sp. A116_S68 	flgB,flgC,flgD,flgF,flgG,flgJ,flgK,flgL,flgM,flgN,flhA,flhB,fliA,fliC,fliD,fliE,fliF,fliG,fliH,fliI,fliJ,fliK,fliL,fliM,fliN,fliO,fliP,fliQ,fliR,fliS,fliT,fliY,flrA,flrC,motA,motB,motX,rpoD,rpoN	39
Bacillus sp. A260 	flgB,flgC,flgD,flgE,flgF,flgJ,flgK,flgL,flhA,flhB,fliA,fliC,fliD,fliF,fliG,fliH,fliI,fliM,fliN,fliP,fliQ,fliR,fliS,fliY,flrA,flrC,motA,motB,motX,rpoD,rpoN	31
Bacillus sp. ABP14 	flgB,flgC,flgD,flgE,flgF,flgJ,flgK,flgL,flhA,flhB,fliA,fliC,fliD,fliE,fliF,fliG,fliH,fliI,fliK,fliM,fliN,fliP,fliQ,fliR,fliS,fliY,flrA,flrC,motA,motB,motX,rpoD,rpoN	33
Bacillus sp. AK13 	flgB,flgC,flgD,flgF,flgG,flgJ,flgK,flgL,flgM,flgN,flhA,flhB,fliA,fliC,fliD,fliE,fliF,fliG,fliH,fliI,fliJ,fliK,fliL,fliM,fliN,fliO,fliP,fliQ,fliR,fliS,fliT,fliY,flrA,flrC,motA,motB,motX,rpoD,rpoN	39
Bacillus sp. Alg07 	flgB,flgC,flgD,flgE,flgF,flgG,flgJ,flgK,flgL,flgM,flgN,flhA,flhB,fliA,fliC,fliD,fliE,fliF,fliG,fliH,fliI,fliJ,fliK,fliL,fliM,fliN,fliO,fliP,fliQ,fliR,fliS,fliT,fliY,flrA,flrC,motA,motB,motX,rpoD,rpoN	40
Bacillus sp. AM1(2019) strain AM1(2019) strain AM1(2019) strain AM1(2019) 	flgB,flgC,flgD,flgE,flgF,flgG,flgJ,flgK,flgL,flgM,flgN,flhA,flhB,fliA,fliC,fliD,fliE,fliF,fliG,fliH,fliI,fliJ,fliK,fliL,fliM,fliN,fliO,fliP,fliQ,fliR,fliS,fliT,fliY,flrA,flrC,motA,motB,motX,rpoD,rpoN	40
Bacillus sp. AR4-2 	flgB,flgC,flgD,flgE,flgF,flgJ,flgK,flgL,flhA,flhB,fliA,fliC,fliD,fliE,fliF,fliG,fliH,fliI,fliK,fliM,fliN,fliP,fliQ,fliR,fliS,fliY,flrA,flrC,motA,motB,motX,rpoD,rpoN	33
Bacillus sp. B25(2016b) 	flgB,flgC,flgD,flgE,flgF,flgJ,flgK,flgL,flhA,flhB,fliA,fliC,fliD,fliE,fliF,fliG,fliH,fliI,fliK,fliM,fliN,fliP,fliQ,fliR,fliS,fliY,flrA,flrC,motA,motB,motX,rpoD,rpoN	33
Bacillus sp. BD59S 	flgB,flgC,flgD,flgE,flgF,flgJ,flgK,flgL,flhA,flhB,fliA,fliC,fliD,fliE,fliF,fliG,fliH,fliI,fliK,fliM,fliN,fliP,fliQ,fliR,fliS,fliY,flrA,flrC,motA,motB,motX,rpoD,rpoN	33
Bacillus sp. BH072 	flgB,flgC,flgD,flgE,flgF,flgG,flgJ,flgK,flgL,flgM,flgN,flhA,flhB,fliA,fliC,fliD,fliE,fliF,fliG,fliH,fliI,fliJ,fliK,fliL,fliM,fliN,fliO,fliP,fliQ,fliR,fliS,fliT,fliY,flrA,flrC,motA,motB,motX,rpoD,rpoN	40
Bacillus sp. BS98 	flgB,flgC,flgD,flgE,flgF,flgJ,flgK,flgL,flhA,flhB,fliA,fliC,fliD,fliE,fliF,fliG,fliH,fliI,fliK,fliM,fliN,fliP,fliQ,fliR,fliS,fliY,flrA,flrC,motA,motB,motX,rpoD,rpoN	33
Bacillus sp. COPE52 	flgB,flgC,flgD,flgE,flgF,flgJ,flgK,flgL,flhA,flhB,fliA,fliC,fliD,fliE,fliF,fliG,fliH,fliI,fliK,fliM,fliN,fliP,fliQ,fliR,fliS,fliY,flrA,flrC,motA,motB,motX,rpoD,rpoN	33
Bacillus sp. CR71 	flgB,flgC,flgD,flgE,flgF,flgJ,flgK,flgL,flhA,flhB,fliA,fliC,fliD,fliE,fliF,fliG,fliH,fliI,fliK,fliM,fliN,fliP,fliQ,fliR,fliS,fliY,flrA,flrC,motA,motB,motX,rpoD,rpoN	33
Bacillus sp. Cs-700 	flgB,flgC,flgD,flgF,flgG,flgK,flgL,flgM,flgN,flhA,flhB,fliA,fliC,fliD,fliE,fliF,fliG,fliH,fliI,fliJ,fliK,fliL,fliM,fliN,fliO,fliP,fliQ,fliR,fliS,fliT,fliY,flrA,flrC,motA,motB,motX,rpoD,rpoN	38
Bacillus sp. DM2 	flgB,flgC,flgD,flgE,flgF,flgG,flgJ,flgK,flgL,flgM,flgN,flhA,flhB,fliA,fliC,fliD,fliE,fliF,fliG,fliH,fliI,fliJ,fliK,fliL,fliM,fliN,fliO,fliP,fliQ,fliR,fliS,fliT,fliY,flrA,flrC,motA,motB,motX,rpoD,rpoN	40
Bacillus sp. DSL-17 	flgB,flgC,flgD,flgE,flgF,flgG,flgJ,flgK,flgL,flgM,flgN,flhA,flhB,fliA,fliD,fliE,fliF,fliG,fliH,fliI,fliJ,fliK,fliL,fliM,fliN,fliO,fliP,fliQ,fliR,fliS,fliT,fliY,flrA,flrC,motA,motB,motX,rpoD,rpoN	39
Bacillus sp. DU-106 	flgB,flgC,flgD,flgE,flgF,flgJ,flgK,flgL,flhA,flhB,fliA,fliC,fliD,fliE,fliF,fliG,fliH,fliI,fliK,fliM,fliN,fliP,fliQ,fliR,fliS,fliY,flrA,flrC,motA,motB,motX,rpoD,rpoN	33
Bacillus sp. E25 	flgB,flgD,flgE,flgF,flgJ,flgK,flgL,flgN,flhA,flhB,fliA,fliC,fliD,fliE,fliF,fliG,fliH,fliI,fliK,fliM,fliN,fliP,fliQ,fliR,fliS,fliY,flrA,flrC,motA,motB,motX,rpoD,rpoN	33
Bacillus sp. FCW2 	flgB,flgC,flgD,flgF,flgG,flgJ,flgK,flgL,flgM,flgN,flhA,flhB,fliA,fliC,fliD,fliE,fliF,fliG,fliH,fliI,fliJ,fliK,fliL,fliM,fliN,fliO,fliP,fliQ,fliR,fliS,fliT,fliY,flrA,flrC,motA,motB,motX,rpoD,rpoN	39
Bacillus sp. FDAARGOS_235 strain FDAARGOS_235 	flgB,flgC,flgD,flgE,flgF,flgJ,flgK,flgL,flhA,flhB,fliA,fliC,fliD,fliE,fliF,fliG,fliH,fliI,fliK,fliM,fliN,fliP,fliQ,fliR,fliS,fliY,flrA,flrC,motA,motB,motX,rpoD,rpoN	33
Bacillus sp. FJAT-14266 	flgB,flgC,flgD,flgE,flgF,flgG,flgJ,flgK,flgL,flgM,flgN,flhA,flhB,fliA,fliC,fliD,fliE,fliF,fliG,fliH,fliI,fliJ,fliK,fliL,fliM,fliN,fliO,fliP,fliQ,fliR,fliS,fliT,fliY,flrA,flrC,motA,motB,motX,rpoD,rpoN	40
Bacillus sp. FJAT-18017 	flgA,flgB,flgC,flgD,flgE,flgF,flgJ,flgK,flgL,flgM,flgN,flhA,flhB,fliA,fliC,fliD,fliE,fliF,fliG,fliH,fliI,fliJ,fliK,fliM,fliN,fliO,fliP,fliQ,fliR,fliS,fliT,fliY,flrA,flrC,motA,motB,motX,rpoD,rpoN	39
Bacillus sp. FJAT-22090 	flgB,flgC,flgD,flgE,flgF,flgK,flgL,flgM,flgN,flhA,flhB,fliA,fliC,fliD,fliE,fliF,fliG,fliH,fliI,fliJ,fliK,fliL,fliM,fliN,fliO,fliP,fliQ,fliR,fliS,fliT,fliY,flrA,flrC,motA,motB,motX,rpoD,rpoN	38
Bacillus sp. FJAT-25496 	flgB,flgC,flgD,flgE,flgF,flgG,flgK,flgL,flgM,flgN,flhA,flhB,fliA,fliC,fliD,fliE,fliF,fliG,fliH,fliI,fliJ,fliK,fliL,fliM,fliN,fliO,fliP,fliQ,fliR,fliS,fliT,fliY,flrA,flrC,motA,motB,motX,rpoD,rpoN	39
Bacillus sp. FJAT-27238 	flgB,flgC,flgD,flgE,flgF,flgG,flgJ,flgK,flgL,flgM,flgN,flhA,flhB,fliA,fliC,fliD,fliE,fliF,fliG,fliH,fliI,fliJ,fliL,fliM,fliN,fliO,fliP,fliQ,fliR,fliS,fliT,fliY,flrA,flrC,motA,motB,motD,motX,rpoD,rpoN	40
Bacillus sp. FJAT-42376 	flgB,flgC,flgD,flgF,flgG,flgJ,flgK,flgL,flgM,flgN,flhA,flhB,fliA,fliC,fliD,fliE,fliF,fliG,fliH,fliI,fliJ,fliK,fliL,fliM,fliN,fliO,fliP,fliQ,fliR,fliS,fliT,fliY,flrA,flrC,motA,motB,motX,rpoD,rpoN	39
Bacillus sp. FJAT-4402 	flgB,flgC,flgD,flgE,flgF,flgG,flgJ,flgK,flgL,flgM,flgN,flhA,flhB,fliA,fliC,fliD,fliE,fliF,fliG,fliH,fliI,fliJ,fliK,fliL,fliM,fliN,fliO,fliP,fliQ,fliR,fliS,fliT,fliY,flrA,flrC,motA,motB,motX,rpoD	39
Bacillus sp. FJAT-45348 	flgB,flgC,flgD,flgE,flgF,flgG,flgK,flgL,flgM,flgN,flhA,flhB,fliA,fliC,fliD,fliE,fliF,fliG,fliH,fliI,fliJ,fliK,fliL,fliM,fliN,fliO,fliP,fliQ,fliR,fliS,fliT,fliY,flrA,flrC,motA,motB,motX,rpoD,rpoN	39
Bacillus sp. H15-1 	flgB,flgC,flgD,flgF,flgG,flgJ,flgK,flgL,flgM,flgN,flhA,flhB,fliA,fliC,fliD,fliE,fliF,fliG,fliH,fliI,fliJ,fliK,fliL,fliM,fliN,fliO,fliP,fliQ,fliR,fliS,fliT,fliY,flrA,flrC,motA,motB,motX,rpoD,rpoN	39
Bacillus sp. HBCD-sjtu 	flgB,flgC,flgD,flgE,flgF,flgJ,flgK,flgL,flhA,flhB,fliA,fliC,fliD,fliE,fliF,fliG,fliH,fliI,fliK,fliM,fliN,fliP,fliQ,fliR,fliS,fliY,flrA,flrC,motA,motB,motX,rpoD,rpoN	33
Bacillus sp. HD4P25 	flgA,flgB,flgC,flgD,flgF,flgG,flgK,flgL,flgM,flgN,flhA,flhB,fliA,fliC,fliD,fliE,fliF,fliG,fliH,fliI,fliJ,fliK,fliL,fliM,fliN,fliO,fliP,fliQ,fliR,fliS,fliT,fliY,flrA,flrC,motA,motB,motX,rpoD,rpoN	39
Bacillus sp. HNA3 	flgB,flgC,flgD,flgF,flgG,flgJ,flgK,flgL,flgM,flgN,flhA,flhB,fliA,fliC,fliD,fliE,fliF,fliG,fliH,fliI,fliJ,fliK,fliL,fliM,fliN,fliO,fliP,fliQ,fliR,fliS,fliT,fliY,flrA,flrC,motA,motB,motX,rpoD,rpoN	39
Bacillus sp. IHB B 7164 	flgB,flgC,flgD,flgF,flgG,flgK,flgL,flgM,flgN,flhA,flhB,fliA,fliC,fliD,fliE,fliF,fliG,fliH,fliI,fliJ,fliK,fliL,fliM,fliN,fliO,fliP,fliQ,fliR,fliS,fliT,fliY,flrA,flrC,motA,motB,motX,rpoD,rpoN	38
Bacillus sp. (in: Bacteria) strain FDAARGOS_527 strain Not applicable 	flgB,flgC,flgD,flgE,flgG,flgJ,flgK,flgL,flhA,flhB,fliA,fliC,fliD,fliE,fliF,fliG,fliH,fliI,fliK,fliM,fliN,fliP,fliQ,fliR,fliS,fliY,flrA,flrC,motA,motB,motX,rpoD,rpoN	33
Bacillus spizizenii strain DN 	flgB,flgC,flgD,flgE,flgF,flgG,flgJ,flgL,flgM,flgN,flhA,flhB,fliA,fliC,fliD,fliE,fliF,fliG,fliH,fliI,fliJ,fliK,fliL,fliM,fliN,fliO,fliP,fliQ,fliR,fliS,fliT,fliY,flrA,flrC,motB,motX,rpoD,rpoN	38
Bacillus sp. JAS24-2 	flgA,flgB,flgC,flgD,flgE,flgF,flgJ,flgK,flgL,flhA,flhB,fliA,fliC,fliD,fliE,fliF,fliG,fliH,fliI,fliK,fliM,fliN,fliP,fliQ,fliR,fliS,fliY,flrA,flrC,motA,motB,motX,rpoD,rpoN	34
Bacillus sp. JNUCC-22 	flgB,flgC,flgD,flgF,flgG,flgJ,flgK,flgL,flgM,flgN,flhA,flhB,fliA,fliC,fliD,fliE,fliF,fliG,fliH,fliI,fliJ,fliK,fliL,fliM,fliN,fliO,fliP,fliQ,fliR,fliS,fliT,fliY,flrA,flrC,motA,motB,motX,rpoD,rpoN	39
Bacillus sp. JNUCC-24 	flgB,flgC,flgD,flgF,flgG,flgJ,flgK,flgL,flgM,flgN,flhA,flhB,fliA,fliC,fliD,fliE,fliF,fliG,fliH,fliI,fliJ,fliK,fliL,fliM,fliN,fliO,fliP,fliQ,fliR,fliS,fliT,fliY,flrA,flrC,motA,motB,motX,rpoD,rpoN	39
Bacillus sp. JS 	flgB,flgC,flgD,flgE,flgF,flgG,flgJ,flgK,flgL,flgM,flgN,flhA,flhB,fliA,fliC,fliD,fliE,fliF,fliG,fliH,fliI,fliJ,fliK,fliL,fliM,fliN,fliO,fliP,fliQ,fliR,fliS,fliT,fliY,flrA,flrC,motA,motB,motX,rpoD,rpoN	40
Bacillus sp. KH172YL63 	flgB,flgC,flgD,flgE,flgF,flgK,flgL,flgM,flgN,flhA,flhB,fliA,fliC,fliD,fliE,fliF,fliG,fliH,fliI,fliJ,fliK,fliL,fliM,fliN,fliO,fliP,fliQ,fliR,fliS,fliT,fliY,flrA,flrC,motA,motB,motX,rpoD,rpoN	38
Bacillus sp. L13 (2020) strain L13 (2020) strain L13 (2020) strain L13 (2020) 	flgB,flgC,flgD,flgE,flgF,flgG,flgJ,flgK,flgL,flgM,flgN,flhA,flhB,fliA,fliC,fliD,fliE,fliF,fliG,fliH,fliI,fliJ,fliK,fliL,fliM,fliN,fliO,fliP,fliQ,fliR,fliS,fliT,fliY,flrA,flrC,motA,motB,motX,rpoD,rpoN	40
Bacillus sp. LJBS06 	flgB,flgC,flgD,flgF,flgG,flgJ,flgK,flgL,flgM,flgN,flhA,flhB,fliA,fliC,fliD,fliE,fliF,fliG,fliH,fliI,fliJ,fliK,fliL,fliM,fliN,fliO,fliP,fliQ,fliR,fliS,fliT,fliY,flrA,flrC,motA,motB,motX,rpoD,rpoN	39
Bacillus sp. LJBS17 	flgB,flgC,flgD,flgF,flgG,flgJ,flgK,flgL,flgM,flgN,flhA,flhB,fliA,fliC,fliD,fliE,fliF,fliG,fliH,fliI,fliJ,fliK,fliL,fliM,fliN,fliO,fliP,fliQ,fliR,fliS,fliT,fliY,flrA,flrC,motA,motB,motX,rpoD,rpoN	39
Bacillus sp. LJBV19 	flgB,flgC,flgD,flgF,flgG,flgJ,flgK,flgL,flgM,flgN,flhA,flhB,fliA,fliC,fliD,fliE,fliF,fliG,fliH,fliI,fliJ,fliK,fliL,fliM,fliN,fliO,fliP,fliQ,fliR,fliS,fliT,fliY,flrA,flrC,motA,motB,motX,rpoD,rpoN	39
Bacillus sp. LM 4-2 	flgB,flgC,flgD,flgE,flgF,flgG,flgJ,flgK,flgL,flgM,flgN,flhA,flhB,fliA,fliC,fliD,fliE,fliF,fliG,fliH,fliI,fliJ,fliK,fliL,fliM,fliN,fliO,fliP,fliQ,fliR,fliS,fliT,fliY,flrA,flrC,motA,motB,motX,rpoD,rpoN	40
Bacillus sp. LUNF1 	flgB,flgC,flgD,flgE,flgF,flgG,flgJ,flgK,flgL,flgM,flgN,flhA,flhB,fliA,fliC,fliD,fliE,fliF,fliG,fliH,fliI,fliJ,fliK,fliL,fliM,fliN,fliO,fliP,fliQ,fliR,fliS,fliT,fliY,flrA,flrC,motA,motB,motX,rpoD,rpoN	40
Bacillus sp. Lzh-5 	flgB,flgC,flgD,flgF,flgG,flgJ,flgK,flgL,flgM,flgN,flhA,flhB,fliA,fliC,fliD,fliE,fliF,fliG,fliH,fliI,fliJ,fliK,fliL,fliM,fliN,fliO,fliP,fliQ,fliR,fliS,fliT,fliY,flrA,flrC,motA,motB,motX,rpoD,rpoN	39
Bacillus sp. M4U3P1 	flgB,flgC,flgD,flgE,flgF,flgG,flgJ,flgK,flgL,flgM,flgN,flhA,flhB,fliA,fliC,fliD,fliE,fliF,fliG,fliH,fliI,fliJ,fliK,fliL,fliM,fliN,fliO,fliP,fliQ,fliR,fliS,fliT,fliY,flrA,flrC,motA,motB,motX,rpoD,rpoN	40
Bacillus sp. MBGLi79 	flgB,flgC,flgD,flgE,flgF,flgG,flgJ,flgK,flgL,flgM,flgN,flhA,flhB,fliA,fliC,fliD,fliE,fliF,fliG,fliH,fliI,fliJ,fliK,fliL,fliM,fliN,fliO,fliP,fliQ,fliR,fliS,fliT,fliY,flrA,flrC,motA,motB,motX,rpoD,rpoN	40
Bacillus sp. MD-5 strain MD-5 	flgB,flgC,flgD,flgE,flgF,flgG,flgJ,flgK,flgL,flgM,flgN,flhA,flhB,fliA,fliC,fliD,fliE,fliF,fliG,fliH,fliI,fliJ,fliK,fliL,fliM,fliN,fliO,fliP,fliQ,fliR,fliS,fliT,fliY,flrA,flrC,motA,motB,motX,rpoD,rpoN	40
Bacillus sp. ms-22 	flgB,flgC,flgD,flgE,flgF,flgG,flgJ,flgK,flgL,flgM,flgN,flhA,flhB,fliA,fliC,fliD,fliE,fliF,fliG,fliH,fliI,fliJ,fliK,fliL,fliM,fliN,fliO,fliP,fliQ,fliR,fliS,fliT,fliY,flrA,flrC,motA,motB,motX,rpoD,rpoN	40
Bacillus sp. N1-1 	flgB,flgC,flgD,flgE,flgF,flgG,flgK,flgL,flgM,flgN,flhA,flhB,fliA,fliC,fliD,fliE,fliF,fliG,fliH,fliI,fliJ,fliL,fliM,fliN,fliO,fliP,fliQ,fliR,fliS,fliT,fliY,flrA,flrC,motA,motB,motD,motX,rpoD,rpoN	39
Bacillus sp. N3536 	flgB,flgC,flgD,flgF,flgG,flgK,flgL,flgM,flgN,flhA,flhB,fliA,fliC,fliD,fliE,fliF,fliG,fliH,fliI,fliJ,fliK,fliL,fliM,fliN,fliO,fliP,fliQ,fliR,fliS,fliT,fliY,flrA,flrC,motA,motB,motX,rpoD	37
Bacillus sp. NP157 	flgA,flgC,flgD,flgE,flgF,flgG,flgH,flgI,flgJ,flgK,flgL,flgM,flgN,flgT,flhA,flhB,fliA,fliC,fliD,fliE,fliF,fliG,fliH,fliI,fliJ,fliK,fliL,fliM,fliN,fliO,fliP,fliQ,fliR,fliS,fliT,fliY,flrA,flrC,motA,motB,motX,motY,rpoD,rpoN	44
Bacillus sp. NP247 	flgB,flgC,flgD,flgE,flgF,flgJ,flgK,flgL,flhA,flhB,fliA,fliC,fliD,fliE,fliF,fliG,fliH,fliI,fliK,fliM,fliN,fliP,fliQ,fliR,fliS,fliY,flrA,flrC,motA,motB,motX,rpoD,rpoN	33
Bacillus sporothermodurans strain DSM 10599 	flgB,flgC,flgD,flgE,flgF,flgJ,flgK,flgL,flgM,flgN,flhA,flhB,fliA,fliC,fliD,fliE,fliF,fliG,fliH,fliI,fliJ,fliK,fliL,fliM,fliN,fliO,fliP,fliQ,fliR,fliS,fliT,fliY,flrA,flrC,motA,motB,motX,rpoD,rpoN	39
Bacillus sp. OxB-1 	flgB,flgC,flgD,flgE,flgF,flgG,flgJ,flgK,flgL,flgM,flgN,flhA,flhB,fliA,fliC,fliD,fliE,fliF,fliG,fliH,fliI,fliJ,fliK,fliL,fliM,fliN,fliO,fliP,fliQ,fliR,fliS,fliT,fliY,flrA,flrC,motA,motB,motX,rpoD,rpoN	40
